proteinID	Result_Value	Result_Type	Dose	DoseUnit	Repeat	Temperature	ProjectName	ExperimentName	SampleGroup	SampleName
Protein_2	85836000	Intensity	1000	nM	1	61.8	Project_1	Experiment_1	1uM	1uM_1000nM_1
Protein_2	68461000	Intensity	1000	nM	1	64.7	Project_1	Experiment_1	1uM	1uM_1000nM_1
Protein_2	36199000	Intensity	1000	nM	1	66.2	Project_1	Experiment_1	1uM	1uM_1000nM_1
Protein_2	32401000	Intensity	1000	nM	1	67	Project_1	Experiment_1	1uM	1uM_1000nM_1
Protein_2	78528000	Intensity	100	nM	1	37	Project_1	Experiment_1	0.1uM	0.1uM_100nM_1
Protein_2	94528000	Intensity	100	nM	1	37.6	Project_1	Experiment_1	0.1uM	0.1uM_100nM_1
Protein_2	121440000	Intensity	100	nM	1	39	Project_1	Experiment_1	0.1uM	0.1uM_100nM_1
Protein_2	125710000	Intensity	100	nM	1	41.5	Project_1	Experiment_1	0.1uM	0.1uM_100nM_1
Protein_2	95773000	Intensity	100	nM	1	44.9	Project_1	Experiment_1	0.1uM	0.1uM_100nM_1
Protein_2	136160000	Intensity	100	nM	1	49.1	Project_1	Experiment_1	0.1uM	0.1uM_100nM_1
Protein_2	90388000	Intensity	100	nM	1	54.1	Project_1	Experiment_1	0.1uM	0.1uM_100nM_1
Protein_2	75743000	Intensity	100	nM	1	58.5	Project_1	Experiment_1	0.1uM	0.1uM_100nM_1
Protein_2	75088000	Intensity	100	nM	1	61.8	Project_1	Experiment_1	0.1uM	0.1uM_100nM_1
Protein_2	65316000	Intensity	100	nM	1	64.7	Project_1	Experiment_1	0.1uM	0.1uM_100nM_1
Protein_2	39373000	Intensity	100	nM	1	66.2	Project_1	Experiment_1	0.1uM	0.1uM_100nM_1
Protein_2	19948000	Intensity	100	nM	1	67	Project_1	Experiment_1	0.1uM	0.1uM_100nM_1
Protein_2	64681000	Intensity	0	nM	1	37	Project_1	Experiment_1	DMSO	DMSO_0nM_1
Protein_2	122250000	Intensity	0	nM	1	37.6	Project_1	Experiment_1	DMSO	DMSO_0nM_1
Protein_2	81261000	Intensity	0	nM	1	39	Project_1	Experiment_1	DMSO	DMSO_0nM_1
Protein_2	88729000	Intensity	0	nM	1	41.5	Project_1	Experiment_1	DMSO	DMSO_0nM_1
Protein_2	92305000	Intensity	0	nM	1	44.9	Project_1	Experiment_1	DMSO	DMSO_0nM_1
Protein_2	125060000	Intensity	0	nM	1	49.1	Project_1	Experiment_1	DMSO	DMSO_0nM_1
Protein_2	63220000	Intensity	0	nM	1	54.1	Project_1	Experiment_1	DMSO	DMSO_0nM_1
Protein_2	51066000	Intensity	0	nM	1	58.5	Project_1	Experiment_1	DMSO	DMSO_0nM_1
Protein_2	63416000	Intensity	0	nM	1	61.8	Project_1	Experiment_1	DMSO	DMSO_0nM_1
Protein_2	54830000	Intensity	0	nM	1	64.7	Project_1	Experiment_1	DMSO	DMSO_0nM_1
Protein_2	29932000	Intensity	0	nM	1	66.2	Project_1	Experiment_1	DMSO	DMSO_0nM_1
Protein_2	19413000	Intensity	0	nM	1	67	Project_1	Experiment_1	DMSO	DMSO_0nM_1
Protein_3	12297000	Intensity	1000000	nM	1	37	Project_1	Experiment_1	1000uM	1000uM_1000000nM_1
Protein_3	17854000	Intensity	1000000	nM	1	37.6	Project_1	Experiment_1	1000uM	1000uM_1000000nM_1
